id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str
335245,Universidad Abad Oliva CEU,cultural,library,41.4104,2.12681,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,"['culture', 'indoor']",culture|indoor
335247,Casa Gassó Vidal,cultural,museum,41.4006,2.14714,Barcelona,,4.6,0.53,Mo-Su 13:00-00:00,OSM,True,False,True,True,3.3789999999999996,True,120,"['culture', 'has_schedule', 'indoor', 'long_visit']",culture|has_schedule|indoor|long_visit
335249,Museo de la Erótica de Barcelona,cultural,museum,41.3823,2.17273,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,120,"['culture', 'indoor', 'long_visit']",culture|indoor|long_visit
335251,Arxiu Municipal Contemporani de Barcelona,cultural,library,41.3831,2.17877,Barcelona,,4.2,0.75,Mo off; Tu-We 18:00-01:00; Th 18:00-02:00; Fr 18:00-03:00; Sa 12:30-03:00; Su 17:30-01:00,OSM,True,False,True,True,3.165,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335253,Museo de Historia de la Peluquería,cultural,museum,41.3932,2.16031,Barcelona,,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,120,"['culture', 'indoor', 'long_visit']",culture|indoor|long_visit
335254,Palau Fivaller,cultural,library,41.3825,2.17433,Barcelona,,3.8,0.5037655860349127,,,False,False,False,False,2.3894602244389023,False,60,"['culture', 'indoor']",culture|indoor
335256,Biblioteca del Ateneo Barcelonés,cultural,library,41.3847,2.17166,Barcelona,,4.4,0.61,Mo-Su 09:00-22:00,OSM,True,False,True,True,3.263,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335258,Monasterio de Pedralbes,cultural,museum,41.3956,2.11208,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,120,"['culture', 'indoor', 'long_visit']",culture|indoor|long_visit
335260,Associació per a les Nacions Unides a Espanya,cultural,library,41.3873,2.17416,Barcelona,,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,60,"['culture', 'indoor']",culture|indoor
335262,Casa Golferichs,cultural,library,41.3808,2.15641,Barcelona,,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,60,"['culture', 'indoor']",culture|indoor
335264,Institución Milá y Fontanals de investigación en Humanidades,cultural,library,41.3809,2.1689,Barcelona,,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,60,"['culture', 'indoor']",culture|indoor
335266,Biblioteca de la Agrupación Astronómica de Barcelona (ASTER),cultural,library,41.3884,2.14555,Barcelona,,4.4,0.39,Mo-Su 07:00-22:00,OSM,True,False,True,True,3.197,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335268,Biblioteca Les Corts - Miquel Llongueras,cultural,library,41.378,2.12184,Barcelona,,4.7,0.4,Mo-Fr 11:00-13:30; Mo-Th 17:00-19:00,OSM,True,False,True,True,3.41,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335270,Elisava,cultural,library,41.3785,2.17606,Barcelona,,4.0,0.42,Mo-Su 17:00-23:00,OSM,True,False,True,True,2.9259999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335272,A Isaac Albéniz i Alícia de Larrocha,cultural,museum,41.3984,2.18489,Barcelona,,4.1,0.5037655860349127,,,False,False,False,False,2.5679602244389024,False,120,"['culture', 'indoor', 'long_visit']",culture|indoor|long_visit
335274,Calle del Carmen (Barcelona),cultural,library,41.3815,2.16898,Barcelona,,4.5,0.55,Mo-Fr 10:30-19:00,OSM,True,False,True,True,3.315,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335276,Sala d'Estudi Vila de Gràcia,cultural,library,41.4015,2.15823,Barcelona,,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,"['culture', 'indoor']",culture|indoor
335278,Centro de Documentación y Recursos - Biblioteca,cultural,library,41.3803,2.14897,Barcelona,,4.6,0.67,"Mo 10:00-20:30; Tu-Th 10:00-14:00,16:00-20:30; Fr 16:00-20:30; Sep 25-Jun 24: Sa 10:00-14:00; Jun 24,Sep 11,Aug: off",OSM,True,False,True,True,3.421,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
335280,Biblioteca del Colegio de Arquitectos de Cataluña,cultural,library,41.3844,2.17472,Barcelona,,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,"['culture', 'indoor']",culture|indoor
